"tuning","load","current","thickness","diameter"
4.6,4.684,21.68,1,5.64
1,4.82,22.52,1,4.36
5.32,4.48,20.84,1,6.12
2.92,5.092,20.56,1,5
1.48,5.364,21.12,1,4.53
2.2,4.004,21.4,1,5.2
1.24,4.208,24.76,1,6.06
1.96,4.956,26.16,1,6.69
5.8,3.936,23.92,1,7.17
3.16,3.868,22.24,1,5.71
6.28,5.228,21.96,1,5.38
1.72,4.548,24.2,1,5.85
4.12,5.296,24.48,1,6.87
3.88,4.276,20.28,1,4.91
4.544,3.936,27.76,2,7.15
5.696,4.14,25.52,2,6.39
1.088,4.684,28.32,2,6.38
0.8,4.276,24.4,2,4.87
3.68,4.412,26.08,2,6.47
4.832,4.616,23,2,6.68
7.136,4.344,27.2,2,6.71
4.256,5.228,24.68,2,6.54
3.392,4.004,23.28,2,5.97
1.952,4.48,23.84,2,5.72
2.528,3.8,24.96,2,6.23
1.376,5.024,25.8,2,5.46
6.272,4.548,29.16,2,7.36
3.968,4.888,29.44,2,7.16
3.104,5.432,28.6,2,6.61
5.12,5.5,26.64,2,5.98
6.56,3.868,26.36,2,6.74
5.984,4.956,24.12,2,5.32
2.816,4.82,26.92,2,6.7
1.664,5.296,27.48,2,6.02
7.712,4.752,25.24,2,5.5
